row_id,vehicle_id,latitude,longitude,distance_from_prev_point,worker_id
45,1201369,31.96395,34.94221,26.954855340745695,2
46,1201369,31.96434,34.94233,44.82359117191933,2
47,1201369,31.96462,34.94248,34.202747926441695,2
51,1201369,31.97602,34.94841,1385.6807215858296,2
54,1201369,31.98007,34.95079,503.2377242154938,2
58,1201369,31.98314,34.95204,361.18907345461207,2
59,1201369,31.98338,34.952,26.95474353243952,2
60,1201369,31.98342,34.95198,4.831746285321568,2
62,1201369,31.98357,34.95174,28.12031920007273,2
63,1201369,31.98355,34.95174,2.2241134079158,2
65,1201369,31.98358,34.95172,3.832632119730794,2
66,1201369,31.9846,34.95159,114.09067387531833,2
69,1201369,31.9876,34.95081,341.63303790315996,2
70,1201369,31.9893,34.95099,189.81046440251012,2
74,1201369,31.99545,34.95168,687.0040774037141,2
78,1201369,32.00291,34.95339,845.1231857352708,2
79,1201369,32.00457,34.95376,187.8701813428219,2
81,1201369,32.0114,34.95359,759.7038823426197,2
82,1201369,32.01213,34.95356,81.22941513440557,2
83,1201369,32.0135,34.95352,152.39845214248788,2
88,1201369,32.01887,34.95367,597.3419168716221,2
94,1201369,32.02425,34.95388,598.6140494278291,2
99,1201369,32.02575,34.95397,167.02419524403055,2
121,1201369,32.03025,34.9545,502.91399767036097,2
128,1201369,32.03181,34.95493,178.15453722152236,2
131,1201369,32.0346,34.95581,321.1639311650661,2
134,1201369,32.03614,34.95539,175.77430242354563,2
135,1201369,32.03664,34.95507,63.25926724572424,2
137,1201369,32.03711,34.95465,65.57063414994585,2
143,1201369,32.04129,34.94965,661.9938870560579,2
147,1201369,32.04721,34.94507,787.266723626113,2
149,1201369,32.04933,34.94405,254.60692557943284,2
154,1201369,32.05248,34.94352,353.8420142407891,2
155,1201369,32.05261,34.94347,15.205517124458042,2
159,1201369,32.05253,34.94358,13.661841185276478,2
161,1201369,32.05372,34.94357,132.33810436717562,2
170,1201369,32.05372,34.94349,7.5403916177203145,2
176,1201369,32.05832,34.94312,512.7333529303035,2
181,1201369,32.06303,34.94282,524.5412571961696,2
184,1201369,32.06648,34.94373,393.1277612564544,2
185,1201369,32.06849,34.94459,237.76287261799442,2
189,1201369,32.06844,34.94455,6.717630240651055,2
191,1201369,32.0711,34.94543,307.2116131187033,2
193,1201369,32.07393,34.94689,343.4711200648944,2
196,1201369,32.08074,34.95117,857.9997929822092,2
200,1201369,32.08281,34.95226,252.0683017048734,2
201,1201369,32.08372,34.95245,102.76851052232826,2
202,1201369,32.0838,34.95241,9.661879589614715,2
